date,time,weather,lighting,speed_limit,road_condition,traffic_signal,male,female,veh_Scooter,veh_Bus,veh_Pedestrian,veh_Truck,veh_Car,veh_Slow,veh_Small_Truck,veh_Full_trailer,veh_Tractor,veh_Semi_trailer,veh_Other,veh_Special,veh_Military,age_1~10,age_11~20,age_21~30,age_31~40,age_41~50,age_51~60,age_61~70,age_71~80,age_81~90,age_91~100,age_101~110,age_111~120
20230126,210000,0,4,40,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20220226,24715,1,4,50,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20200402,203800,0,4,50,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20220210,92600,0,3,40,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20210508,111300,0,3,40,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20190312,222700,0,4,60,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
20240112,172600,0,1,50,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
20210503,120019,1,3,50,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
20200213,215600,0,4,60,0,3,6,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0
20210522,115800,0,3,50,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20210530,52500,2,3,50,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
20210829,21500,0,3,60,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20241209,85401,0,0,50,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20220718,80000,0,3,30,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20240827,170809,0,0,50,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
20200302,92400,0,3,50,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20190727,103015,0,3,50,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
20231119,65600,0,2,50,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
20210318,111900,0,3,50,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
20190905,114500,0,3,40,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20190420,81500,0,3,15,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
20190603,154616,0,3,60,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
